35,1
37,1
18,2
26,2
32,2
33,2
66,2
76,2
7,3
10,3
16,3
30,3
44,3
52,3
57,3
67,3
75,3
80,3
53,4
49,5
60,5
15,6
40,6
36,7
20,8
64,8
23,9
67,10
46,11
53,11
33,12
59,13
51,14
65,14
40,15
30,16
25,17
31,17
66,17
32,18
66,18
76,18
84,19
22,20
40,20
56,20
64,20
81,20
40,21
40,22
36,23
43,23
33,24
54,24
33,26
36,26
86,26
30,27
41,27
48,27
30,28
55,28
74,28
60,29
41,30
48,30
55,30
61,30
62,30
82,30
83,30
84,30
66,31
66,32
76,32
34,33
36,33
44,33
58,33
77,33
86,33
36,35
37,35
71,35
42,36
43,36
44,36
68,36
73,36
85,36
39,38
74,38
74,39
45,40
54,40
58,40
48,41
53,43
69,43
72,43
79,43
73,44
80,44
58,45
59,45
53,46
49,47
60,49
61,49
77,50
69,53
72,53
79,53
58,55
59,55
59,58
81,63
78,64
84,65
76,66
77,70
79,72
83,82
84,83
