1,2
3,4
3,5
6,7
8,9
8,10
8,11
11,9
11,10
4,5
9,10
12,10
12,13
12,14
15,16
15,17
15,1
15,14
16,17
16,18
16,19
16,20
16,21
16,11
16,14
16,22
17,18
17,14
17,23
17,24
17,25
18,20
18,24
18,22
18,25
3,4
3,5
26,10
26,14
21,19
21,11
27,19
27,10
27,7
28,22
29,30
31,8
32,24
32,33
6,10
6,14
34,19
34,20
34,8
34,11
35,9
35,22
36,37
23,37
19,20
19,8
19,11
19,33
19,25
20,8
20,11
20,24
20,22
38,39
38,25
8,11
8,14
8,24
8,9
8,10
13,10
13,14
13,39
13,25
11,33
11,24
11,9
11,10
11,25
14,10
4,5
39,25
37,9
40,9
33,24
33,9
33,25
24,9
24,10
24,25
9,22
9,10
10,7
10,22
41,25
12,9
12,10
42,4
42,3
42,5
16,9
16,18
18,9
1,2
43,28
3,4
3,5
26,10
29,33
29,25
32,44
6,14
45,19
45,24
2,8
19,24
20,11
38,25
8,11
11,10
11,9
14,10
4,5
30,44
33,24
33,25
24,25
9,10
9,22
