1874,1258
1874,999
1258,999
1874,1963
1258,1963
999,1258
1586,1258
1963,999
1159,1377
1874,1586
999,1586
999,1963
1576,1586
1144,1198
1586,1792
1586,1963
1987,1586
1874,1440
465,1792
1576,1258
1874,1792
1258,1998
1576,1963
1576,1874
999,1792
1576,999
1874,1998
1987,1792
1258,1792
1120,1586
1874,1987
1306,1159
1377,1159
1576,1323
465,1586
1120,999
1987,1258
1576,1792
1987,419
1120,1258
1576,1987
1586,419
1998,999
1833,1258
203,1586
999,419
1120,1669
1792,1963
1987,1963
1586,1669
1120,1963
1120,1987
203,1874
1874,412
1120,1792
465,1258
1510,1792
203,1987
1120,1874
999,1987
1323,1963
1576,479
1510,465
465,419
1874,419
1576,419
1258,419
1576,1669
1874,1768
1120,1576
1120,419
465,1963
1306,1377
1987,1768
1833,1874
999,1669
1258,1669
1669,1963
1510,1586
1258,412
1510,1669
1792,419
1120,1323
1510,479
1987,1669
1874,511
1510,1258
203,1792
465,1987
1510,1987
999,412
999,1440
1510,999
1510,419
1258,1440
1586,1440
1963,1440
1669,479
1792,479
1963,412
1510,1963
1963,419
1323,1440
1323,1586
1586,412
1576,412
999,1874
1576,1440
1963,1258
453,1586
1120,465
1586,479
419,412
1323,1792
1576,203
203,412
1669,419
1963,457
999,457
1987,412
1258,479
1874,479
1586,457
465,479
999,479
1987,479
1120,479
1576,457
203,1258
203,1768
1258,457
1323,457
1120,412
465,999
1510,1874
1874,1323
1323,1258
1833,1440
1987,1440
203,419
1874,457
1874,852
453,1258
1151,841
465,1669
80,1159
453,1792
1586,1839
1576,453
1792,412
1120,1440
203,1963
453,1963
511,1440
1323,419
453,412
453,1987
1120,453
1120,457
999,511
1258,1768
1878,1963
1878,479
465,412
1987,457
203,999
203,453
457,1440
1963,479
1874,465
329,1987
1576,465
1792,1440
1510,1323
1323,999
1120,511
1878,1792
1878,1258
1878,1586
585,1258
1899,1998
1258,511
1120,558
999,453
1874,1833
1586,511
1586,1768
1576,511
1576,1878
1323,412
1323,1987
1120,203
80,1377
1510,1878
203,465
1792,511
1792,1768
453,419
1576,1833
1522,1899
999,827
1987,511
203,539
1874,1669
1874,1839
1323,511
1586,574
1878,999
412,1768
1874,453
1440,1258
1586,690
1586,558
1586,1430
1576,558
1576,574
1669,574
999,574
1899,999
1586,827
1120,120
1576,1510
1576,1241
1195,1159
1195,1377
1963,1998
999,558
999,1430
453,1669
1120,1878
1878,1987
419,479
1669,155
1792,457
999,690
1987,1430
203,1323
1258,558
1323,1833
1323,574
1874,558
1586,539
1120,1241
1878,1669
465,690
1594,1159
1792,1430
511,1258
155,574
1323,479
419,1440
419,1768
465,1323
1444,1159
1444,1377
1963,574
1987,690
1874,1241
419,457
1669,1440
1963,1833
1258,1899
511,1874
120,457
1120,165
585,999
1669,1792
1833,999
412,1440
1258,539
1258,827
1874,1751
465,1440
465,453
1669,457
1258,574
1120,574
1576,120
457,574
465,1768
574,827
1830,1052
1830,539
1830,1792
1830,1258
1830,1586
1830,465
539,1052
539,1792
80,1981
80,1444
1792,690
999,1768
1510,1052
1510,1830
1510,539
1258,1052
1258,690
217,1899
453,1768
1586,1052
1120,1510
1120,827
1576,1052
1576,1830
1576,539
1576,1430
1576,155
1576,827
465,1052
465,539
465,1874
165,1792
165,999
165,1987
165,120
165,1586
1195,1981
80,1195
1377,246
1906,1159
1906,1377
1987,558
1258,1430
511,479
1874,1878
1874,585
1874,827
120,1430
465,511
1669,412
1833,1586
558,1440
558,1241
1987,827
1987,574
1323,155
1576,690
1768,1874
1830,479
1792,1052
203,1052
203,1830
1874,817
1874,574
1120,1430
1120,155
585,511
465,457
1144,1998
1751,574
203,1833
1874,120
155,827
1323,690
1323,1430
1629,278
1669,1277
1669,827
1159,246
1306,246
1278,1258
904,457
203,329
1258,1874
1874,690
1874,1430
329,1768
1323,120
1576,165
1241,1440
165,457
1830,1963
539,1963
539,1768
999,1833
203,479
1430,1241
1586,1751
1586,1874
1120,690
465,1430
1669,278
449,1159
449,1377
1952,1159
1510,412
1510,453
1586,556
1586,1833
1120,1768
1576,904
1878,419
585,1440
465,1878
904,827
904,574
1258,1839
1874,539
120,1440
1323,558
1586,1323
713,453
457,827
1144,585
827,1440
165,1963
165,1258
165,1430
165,1440
1052,479
1052,1768
1830,999
1830,412
1830,419
1830,1768
539,412
539,479
539,419
1906,1306
1963,1052
1963,827
999,1052
999,539
999,556
999,1670
412,1052
1510,1768
558,574
1258,1670
1874,1052
1323,1669
1019,558
1019,1586
1586,1670
1120,1052
1120,1830
1120,539
1576,1019
1576,1768
419,1052
585,1586
1669,713
1669,1629
165,511
1444,1981
1159,1981
1377,1981
1792,1241
1963,511
1987,1241
1258,1833
1874,1670
155,1440
120,558
1323,1839
1586,1241
1120,2006
1144,34
1144,999
574,1440
829,1874
1792,1669
1792,827
1792,574
690,457
1963,558
999,1019
1510,690
558,827
1987,2006
511,1963
1874,203
980,1963
1323,827
1019,1963
1019,1258
1019,1440
1019,457
1120,556
1120,1019
1120,1833
1576,1670
1878,827
585,1963
585,1987
1151,217
852,999
165,690
165,1241
1830,1987
1830,1669
539,1669
350,1768
410,1987
1963,1839
999,1241
1510,574
558,457
1987,1052
1987,539
1369,999
203,1510
1258,1323
556,574
1874,411
120,1963
120,1241
1241,827
1144,1580
1669,1052
1669,1768
999,1323
1510,511
1899,1963
511,1669
453,1440
1586,155
585,1792
585,690
1669,453
1792,980
410,329
999,980
999,1839
1510,1833
1987,980
1258,1751
1258,980
556,827
1874,980
1874,1587
1430,1440
980,690
980,419
980,457
1586,980
1576,980
585,419
465,980
1144,1380
1830,453
1792,558
1619,278
999,155
1510,827
558,1839
1369,1258
203,1669
1440,479
453,1052
453,539
1878,511
1670,1963
419,574
465,1576
1768,479
1894,1258
165,419
1963,1768
412,479
1510,155
203,1440
1258,155
1874,1974
155,278
120,690
120,999
120,1586
120,419
1120,904
1576,585
1576,1839
1670,1440
585,457
47,1258
465,1670
465,165
1768,1987
1669,1619
1751,1258
1792,1629
690,1440
410,1587
999,1629
904,1963
904,999
904,1586
1510,1576
1987,1751
1987,1629
1987,1839
1430,457
1430,1839
155,1619
980,1440
1323,1241
1586,1629
1576,556
1670,690
585,980
1629,574
1241,1839
1144,1440
165,558
1751,999
80,1306
1792,817
1792,1839
410,453
1963,155
999,1751
1510,1440
1987,1670
1369,1963
1258,556
1258,1241
1874,155
1440,1839
120,827
120,1839
120,574
1767,1258
1767,479
453,329
1019,1792
1019,1430
1019,1241
1120,1839
1670,419
1670,457
457,1839
1768,203
1669,558
1669,1430
1894,1899
350,1874
999,2006
904,479
904,1440
904,1669
1987,556
1987,120
1987,266
1369,1792
1369,1987
1369,1874
1369,1586
1440,999
120,1792
1323,1874
1323,453
1767,1792
1767,1586
1576,1751
1576,1369
1878,457
1878,574
465,266
465,1833
1669,690
1669,1323
1669,1833
165,1839
574,479
1751,1963
1751,1586
1751,827
1830,1833
1444,1195
1444,1306
1306,1981
1792,1670
1963,1241
904,1258
1510,1751
1510,457
1369,511
155,2006
155,556
120,479
1323,1019
1767,1751
1767,999
1767,1987
1767,155
1767,1878
1767,1629
1767,1669
1767,827
1767,574
453,479
1019,1987
1019,511
1019,1839
1120,1670
1120,585
1576,2006
419,511
585,120
457,1241
1587,1874
827,479
794,412
794,1874
794,419
794,852
794,1587
1894,511
1833,479
165,1019
165,585
1195,1306
1278,1874
904,155
412,817
412,1833
1369,479
1369,457
1369,1669
203,1839
1258,411
511,1839
155,457
1440,1874
1629,1619
1241,479
465,120
1669,1839
1669,1969
1906,246
1792,1751
690,511
1278,1963
412,1874
12,1963
12,1440
12,1586
12,457
12,1669
1987,1587
1874,1830
1874,1899
1874,306
1430,511
155,479
453,558
1586,817
306,817
1120,1751
1576,12
1878,1440
1670,266
47,999
1669,1751
1669,1287
1669,1874
